,concept:name,time:timestamp,case:concept:name
0,A,2019-01-10 08:00:00+00:00,0
1,D,2019-01-10 08:34:20.039000+00:00,0
2,F,2019-01-10 08:58:00.648000+00:00,0
3,E,2019-01-10 09:23:31.774000+00:00,0
4,G,2019-01-10 09:53:47.392000+00:00,0
5,H,2019-01-10 10:22:33.205000+00:00,0
6,A,2019-01-10 12:00:00+00:00,12
7,D,2019-01-10 12:31:01.822000+00:00,12
8,F,2019-01-10 13:04:29.473000+00:00,12
9,E,2019-01-10 13:38:04.182000+00:00,12
10,G,2019-01-10 14:07:54.175000+00:00,12
11,H,2019-01-10 14:37:21.429000+00:00,12
12,A,2019-01-10 13:00:00+00:00,15
13,D,2019-01-10 13:34:14.649000+00:00,15
14,F,2019-01-10 14:05:35.251000+00:00,15
15,E,2019-01-10 14:36:56.339000+00:00,15
16,G,2019-01-10 15:08:49.683000+00:00,15
17,H,2019-01-10 15:34:03.236000+00:00,15
18,A,2019-01-10 08:20:00+00:00,1
19,B,2019-01-10 08:47:04.440000+00:00,1
20,C,2019-01-10 09:19:50.836000+00:00,1
21,A,2019-01-10 09:50:50.483000+00:00,1
22,B,2019-01-10 10:21:34.013000+00:00,1
23,C,2019-01-10 10:51:49.882000+00:00,1
24,A,2019-01-10 11:22:52.248000+00:00,1
25,B,2019-01-10 11:52:49.875000+00:00,1
26,C,2019-01-10 12:19:19.281000+00:00,1
27,A,2019-01-10 12:54:33.751000+00:00,1
28,B,2019-01-10 13:23:29.645000+00:00,1
29,C,2019-01-10 13:48:03.070000+00:00,1
30,A,2019-01-10 14:20:58.347000+00:00,1
31,D,2019-01-10 14:54:09.325000+00:00,1
32,F,2019-01-10 15:24:22.976000+00:00,1
33,E,2019-01-10 15:48:18.675000+00:00,1
34,G,2019-01-10 16:19:26.500000+00:00,1
35,H,2019-01-10 16:46:18.476000+00:00,1
36,A,2019-01-10 08:40:00+00:00,2
37,B,2019-01-10 09:13:53.243000+00:00,2
38,C,2019-01-10 09:41:32.260000+00:00,2
39,A,2019-01-10 10:07:14.733000+00:00,2
40,D,2019-01-10 10:35:45.966000+00:00,2
41,F,2019-01-10 11:10:13.530000+00:00,2
42,E,2019-01-10 11:41:49.118000+00:00,2
43,G,2019-01-10 12:08:30.863000+00:00,2
44,I,2019-01-10 12:35:42.918000+00:00,2
45,J,2019-01-10 13:08:18.412000+00:00,2
46,L,2019-01-10 13:39:45.605000+00:00,2
47,M,2019-01-10 14:09:25.712000+00:00,2
48,N,2019-01-10 14:39:55.228000+00:00,2
49,A,2019-01-10 10:40:00+00:00,8
50,B,2019-01-10 11:07:56.414000+00:00,8
51,C,2019-01-10 11:44:08.912000+00:00,8
52,A,2019-01-10 12:11:03.256000+00:00,8
53,D,2019-01-10 12:41:43.430000+00:00,8
54,F,2019-01-10 13:11:38.575000+00:00,8
55,E,2019-01-10 13:41:36.545000+00:00,8
56,G,2019-01-10 14:11:12.295000+00:00,8
57,I,2019-01-10 14:46:02.348000+00:00,8
58,J,2019-01-10 15:18:11.986000+00:00,8
59,L,2019-01-10 15:49:03.806000+00:00,8
60,M,2019-01-10 16:21:46.897000+00:00,8
61,N,2019-01-10 16:53:06.647000+00:00,8
62,A,2019-01-10 09:00:00+00:00,3
63,B,2019-01-10 09:31:55.858000+00:00,3
64,C,2019-01-10 10:05:08.268000+00:00,3
65,A,2019-01-10 10:35:39.982000+00:00,3
66,B,2019-01-10 11:03:32.783000+00:00,3
67,C,2019-01-10 11:37:00.355000+00:00,3
68,A,2019-01-10 12:02:46.156000+00:00,3
69,D,2019-01-10 12:37:43.926000+00:00,3
70,F,2019-01-10 13:05:34.567000+00:00,3
71,E,2019-01-10 13:38:31.525000+00:00,3
72,G,2019-01-10 14:08:58.183000+00:00,3
73,H,2019-01-10 14:37:08.543000+00:00,3
74,A,2019-01-10 11:20:00+00:00,10
75,B,2019-01-10 11:52:42.656000+00:00,10
