,concept:name,time:timestamp,concept:actor,concept:resource,case:concept:name
0,Activity A,2020-06-14 23:06:42.120000+00:00,Ryan,20,0
1,Activity C,2020-06-14 23:08:42.120000+00:00,Amy,20,0
2,Activity J,2020-06-14 23:09:42.120000+00:00,Ryan,50,0
3,Activity D,2020-06-14 23:10:42.120000+00:00,Kate,20,0
4,Activity S,2020-06-14 23:11:42.120000+00:00,Chris,60,0
5,Activity T,2020-06-14 23:12:42.120000+00:00,Larry,20,0
6,Activity U,2020-06-14 23:13:42.120000+00:00,Oscar,70,0
7,Activity V,2020-06-14 23:14:42.120000+00:00,Robert,60,0
8,Activity B,2020-06-14 23:16:42.120000+00:00,Victoria,60,0
9,Activity A,2020-06-15 00:39:13.962000+00:00,Thomas,20,1
10,Activity S,2020-06-15 00:41:13.962000+00:00,Naomi,60,1
11,Activity T,2020-06-15 00:42:13.962000+00:00,Bruce,20,1
12,Activity U,2020-06-15 00:43:13.962000+00:00,Owen,20,1
13,Activity S,2020-06-15 00:44:13.962000+00:00,Naomi,60,1
14,Activity T,2020-06-15 00:45:13.962000+00:00,Bruce,20,1
15,Activity U,2020-06-15 00:46:13.962000+00:00,Owen,20,1
16,Activity V,2020-06-15 00:47:13.962000+00:00,Walter,40,1
17,Activity C,2020-06-15 00:49:13.962000+00:00,Amy,20,1
18,Activity J,2020-06-15 00:50:13.962000+00:00,Cameron,50,1
19,Activity D,2020-06-15 00:51:13.962000+00:00,Kate,60,1
20,Activity B,2020-06-15 00:52:13.962000+00:00,Fred,60,1
21,Activity A,2020-06-15 01:20:44.312000+00:00,Amy,20,2
22,Activity C,2020-06-15 01:22:44.312000+00:00,Dwight,20,2
23,Activity K,2020-06-15 01:23:44.312000+00:00,Fred,90,2
24,Activity S,2020-06-15 01:24:44.312000+00:00,Chris,20,2
25,Activity L,2020-06-15 01:25:44.312000+00:00,Bruce,80,2
26,Activity T,2020-06-15 01:26:44.312000+00:00,Larry,20,2
27,Activity U,2020-06-15 01:27:44.312000+00:00,Oscar,70,2
28,Activity D,2020-06-15 01:28:44.312000+00:00,Kate,60,2
29,Activity V,2020-06-15 01:29:44.312000+00:00,Walter,90,2
30,Activity B,2020-06-15 01:31:44.312000+00:00,Walter,40,2
31,Activity A,2020-06-15 02:13:15.277000+00:00,Amy,20,3
32,Activity C,2020-06-15 02:15:15.277000+00:00,Isabella,20,3
33,Activity M,2020-06-15 02:16:15.277000+00:00,Nicholas,80,3
34,Activity S,2020-06-15 02:17:15.277000+00:00,Carla,60,3
35,Activity Q,2020-06-15 02:18:15.277000+00:00,Amy,20,3
36,Activity T,2020-06-15 02:19:15.277000+00:00,Bruce,20,3
37,Activity U,2020-06-15 02:20:15.277000+00:00,Oscar,30,3
38,Activity V,2020-06-15 02:21:15.277000+00:00,Walter,40,3
39,Activity N,2020-06-15 02:22:15.277000+00:00,Lewis,30,3
40,Activity D,2020-06-15 02:23:15.277000+00:00,Kate,20,3
41,Activity B,2020-06-15 02:25:15.277000+00:00,Walter,60,3
42,Activity A,2020-06-15 02:17:03.150000+00:00,Thomas,20,4
43,Activity S,2020-06-15 02:19:03.150000+00:00,Carla,60,4
44,Activity T,2020-06-15 02:20:03.150000+00:00,Bruce,20,4
45,Activity U,2020-06-15 02:21:03.150000+00:00,Owen,30,4
46,Activity V,2020-06-15 02:22:03.150000+00:00,Robert,70,4
47,Activity C,2020-06-15 02:23:03.150000+00:00,Kevin,20,4
48,Activity K,2020-06-15 02:24:03.150000+00:00,Fred,90,4
49,Activity L,2020-06-15 02:25:03.150000+00:00,Dwight,80,4
50,Activity D,2020-06-15 02:26:03.150000+00:00,Kate,10,4
51,Activity B,2020-06-15 02:28:03.150000+00:00,Walter,60,4
52,Activity A,2020-06-15 02:56:34.307000+00:00,Thomas,10,5
53,Activity C,2020-06-15 02:58:34.307000+00:00,Kevin,20,5
54,Random Activity 1,2020-06-15 02:59:34.307000+00:00,Random Actor 1,30,5
55,Activity K,2020-06-15 03:00:34.307000+00:00,Fred,90,5
56,Activity L,2020-06-15 03:01:34.307000+00:00,Bruce,10,5
57,Activity D,2020-06-15 03:02:34.307000+00:00,Kate,20,5
58,Activity S,2020-06-15 03:03:34.307000+00:00,Naomi,60,5
59,Activity T,2020-06-15 03:04:34.307000+00:00,Larry,20,5
60,Activity U,2020-06-15 03:05:34.307000+00:00,Owen,50,5
61,Random Activity 2,2020-06-15 03:07:34.307000+00:00,Random Actor 2,10,5
62,Activity V,2020-06-15 03:08:34.307000+00:00,Harper,60,5
63,Activity B,2020-06-15 03:09:34.307000+00:00,Victoria,60,5
64,Activity A,2020-06-15 04:16:17.121000+00:00,Anna,20,6
