,concept:name,time:timestamp,case:concept:name
0,A,2019-01-13 02:40:00+00:00,200
1,D,2019-01-13 03:13:44.182000+00:00,200
2,F,2019-01-13 03:42:25.123000+00:00,200
3,E,2019-01-13 04:13:01.761000+00:00,200
4,G,2019-01-13 04:44:10.829000+00:00,200
5,I,2019-01-13 05:15:10.744000+00:00,200
6,J,2019-01-13 05:48:53.111000+00:00,200
7,K,2019-01-13 06:17:43.459000+00:00,200
8,M,2019-01-13 06:51:38.977000+00:00,200
9,N,2019-01-13 07:19:26.928000+00:00,200
10,A,2019-01-13 14:20:00+00:00,235
11,D,2019-01-13 14:53:47.106000+00:00,235
12,F,2019-01-13 15:24:59.739000+00:00,235
13,E,2019-01-13 15:57:52.191000+00:00,235
14,G,2019-01-13 16:29:01.626000+00:00,235
15,I,2019-01-13 16:54:29.351000+00:00,235
16,J,2019-01-13 17:23:41.571000+00:00,235
17,K,2019-01-13 17:52:22.161000+00:00,235
18,M,2019-01-13 18:21:29.578000+00:00,235
19,N,2019-01-13 18:50:06.029000+00:00,235
20,A,2019-01-13 20:00:00+00:00,252
21,D,2019-01-13 20:26:04.495000+00:00,252
22,F,2019-01-13 20:55:45.073000+00:00,252
23,E,2019-01-13 21:26:52.822000+00:00,252
24,G,2019-01-13 21:57:17.981000+00:00,252
25,I,2019-01-13 22:25:33.816000+00:00,252
26,J,2019-01-13 22:51:42.431000+00:00,252
27,K,2019-01-13 23:19:30.034000+00:00,252
28,M,2019-01-13 23:44:26.176000+00:00,252
29,N,2019-01-14 00:12:32.902000+00:00,252
30,A,2019-01-13 23:40:00+00:00,263
31,D,2019-01-14 00:09:15.616000+00:00,263
32,F,2019-01-14 00:41:45.776000+00:00,263
33,E,2019-01-14 01:12:09.853000+00:00,263
34,G,2019-01-14 01:43:48.382000+00:00,263
35,I,2019-01-14 02:14:52.626000+00:00,263
36,J,2019-01-14 02:46:44.424000+00:00,263
37,K,2019-01-14 03:19:11.282000+00:00,263
38,M,2019-01-14 03:51:02.632000+00:00,263
39,N,2019-01-14 04:20:46.245000+00:00,263
40,A,2019-01-14 01:00:00+00:00,267
41,D,2019-01-14 01:29:33.616000+00:00,267
42,F,2019-01-14 01:55:10.148000+00:00,267
43,E,2019-01-14 02:25:54.323000+00:00,267
44,G,2019-01-14 02:59:06.671000+00:00,267
45,I,2019-01-14 03:29:59.107000+00:00,267
46,J,2019-01-14 03:56:31.989000+00:00,267
47,K,2019-01-14 04:29:15.756000+00:00,267
48,M,2019-01-14 05:00:43.617000+00:00,267
49,N,2019-01-14 05:24:21.680000+00:00,267
50,A,2019-01-14 02:00:00+00:00,270
51,D,2019-01-14 02:26:20.403000+00:00,270
52,F,2019-01-14 02:54:17.916000+00:00,270
53,E,2019-01-14 03:23:11.434000+00:00,270
54,G,2019-01-14 03:52:28.701000+00:00,270
55,I,2019-01-14 04:16:26.827000+00:00,270
56,J,2019-01-14 04:39:37.229000+00:00,270
57,K,2019-01-14 05:07:39.590000+00:00,270
58,M,2019-01-14 05:30:52.678000+00:00,270
59,N,2019-01-14 05:55:03.758000+00:00,270
60,A,2019-01-14 06:40:00+00:00,284
