,org:group,concept:instance,org:resource,concept:name,time:timestamp,lifecycle:transition,case:startdate,case:responsible,case:enddate_planned,case:department,case:group,case:concept:name,case:deadline,case:channel,case:enddate
0,EMPTY,task-7909,Resource18,Confirmation of receipt,2011-01-14 15:03:09.840000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
1,Group 1,task-8452,Resource18,T06 Determine necessity of stop advice,2011-01-17 08:06:42.726000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
2,Group 1,task-8480,Resource18,T10 Determine necessity to stop indication,2011-01-17 08:09:14.670000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
3,EMPTY,task-8451,Resource24,T02 Check confirmation of receipt,2011-01-17 12:47:49.460000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
4,Group 1,task-8634,Resource18,T03 Adjust confirmation of receipt,2011-01-20 12:39:54.930000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
5,Group 4,task-9078,Resource18,T02 Check confirmation of receipt,2011-01-20 12:40:10.916000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
6,Group 3,task-9079,Resource18,T04 Determine confirmation of receipt,2011-01-20 12:41:34.147000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
7,Group 2,task-9080,admin1,T05 Print and send confirmation of receipt,2011-01-24 10:04:54.827000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
8,Group 1,task-8466,admin2,Confirmation of receipt,2011-01-15 12:42:05.411000+00:00,complete,2011-01-14 23:00:00.010000+00:00,admin3,2011-03-11 23:00:00.010000+00:00,Customer contact,,case-5337,2011-03-11 23:00:00+00:00,Internet,2011-01-15 12:42:03.349000+00:00
9,EMPTY,task-6017,admin2,Confirmation of receipt,2011-01-19 09:10:46.594000+00:00,complete,2010-12-13 23:00:00.010000+00:00,Resource26,2011-02-15 23:00:00.010000+00:00,General,,case-5002,2011-02-15 23:00:00+00:00,Internet,2011-01-19 09:10:45.508000+00:00
10,Group 1,task-7953,admin2,Confirmation of receipt,2011-01-19 09:11:57.658000+00:00,complete,2010-12-22 23:00:00.010000+00:00,Resource26,2011-02-14 23:00:00.010000+00:00,General,,case-5285,2011-02-14 23:00:00+00:00,Internet,2011-01-19 09:11:56.843000+00:00
11,EMPTY,task-7700,Resource09,Confirmation of receipt,2011-01-17 08:36:13.653000+00:00,complete,2010-12-05 23:00:00.010000+00:00,Resource09,2011-01-30 23:00:00.010000+00:00,General,,case-5250,2011-01-30 23:00:00+00:00,Internet,2011-02-09 10:50:34.042000+00:00
12,Group 1,task-8491,Resource09,T06 Determine necessity of stop advice,2011-01-17 08:41:11.425000+00:00,complete,2010-12-05 23:00:00.010000+00:00,Resource09,2011-01-30 23:00:00.010000+00:00,General,,case-5250,2011-01-30 23:00:00+00:00,Internet,2011-02-09 10:50:34.042000+00:00
13,Group 1,task-8498,Resource09,T10 Determine necessity to stop indication,2011-01-17 08:41:38.083000+00:00,complete,2010-12-05 23:00:00.010000+00:00,Resource09,2011-01-30 23:00:00.010000+00:00,General,,case-5250,2011-01-30 23:00:00+00:00,Internet,2011-02-09 10:50:34.042000+00:00
14,EMPTY,task-8490,Resource24,T02 Check confirmation of receipt,2011-01-17 11:38:43.397000+00:00,complete,2010-12-05 23:00:00.010000+00:00,Resource09,2011-01-30 23:00:00.010000+00:00,General,,case-5250,2011-01-30 23:00:00+00:00,Internet,2011-02-09 10:50:34.042000+00:00
15,Group 3,task-8604,Resource10,T04 Determine confirmation of receipt,2011-01-19 13:55:55.230000+00:00,complete,2010-12-05 23:00:00.010000+00:00,Resource09,2011-01-30 23:00:00.010000+00:00,General,,case-5250,2011-01-30 23:00:00+00:00,Internet,2011-02-09 10:50:34.042000+00:00
16,Group 2,task-8966,admin1,T05 Print and send confirmation of receipt,2011-01-24 10:43:44.009000+00:00,complete,2010-12-05 23:00:00.010000+00:00,Resource09,2011-01-30 23:00:00.010000+00:00,General,,case-5250,2011-01-30 23:00:00+00:00,Internet,2011-02-09 10:50:34.042000+00:00
17,Group 1,task-8365,Resource09,Confirmation of receipt,2011-01-17 12:58:21.153000+00:00,complete,2010-12-26 23:00:00.010000+00:00,Resource09,2011-02-13 23:00:00.010000+00:00,General,,case-5311,2011-02-13 23:00:00+00:00,Desk,2011-04-14 12:12:56.814000+00:00
18,Group 1,task-8643,Resource09,T06 Determine necessity of stop advice,2011-01-17 12:59:31.321000+00:00,complete,2010-12-26 23:00:00.010000+00:00,Resource09,2011-02-13 23:00:00.010000+00:00,General,,case-5311,2011-02-13 23:00:00+00:00,Desk,2011-04-14 12:12:56.814000+00:00
19,Group 1,task-8648,Resource09,T10 Determine necessity to stop indication,2011-01-17 13:00:14.123000+00:00,complete,2010-12-26 23:00:00.010000+00:00,Resource09,2011-02-13 23:00:00.010000+00:00,General,,case-5311,2011-02-13 23:00:00+00:00,Desk,2011-04-14 12:12:56.814000+00:00
20,Group 4,task-8642,Resource10,T02 Check confirmation of receipt,2011-01-19 14:06:31.204000+00:00,complete,2010-12-26 23:00:00.010000+00:00,Resource09,2011-02-13 23:00:00.010000+00:00,General,,case-5311,2011-02-13 23:00:00+00:00,Desk,2011-04-14 12:12:56.814000+00:00
21,Group 3,task-8976,Resource10,T04 Determine confirmation of receipt,2011-01-19 14:09:37.013000+00:00,complete,2010-12-26 23:00:00.010000+00:00,Resource09,2011-02-13 23:00:00.010000+00:00,General,,case-5311,2011-02-13 23:00:00+00:00,Desk,2011-04-14 12:12:56.814000+00:00
22,Group 2,task-8989,admin1,T05 Print and send confirmation of receipt,2011-01-24 10:29:18.142000+00:00,complete,2010-12-26 23:00:00.010000+00:00,Resource09,2011-02-13 23:00:00.010000+00:00,General,,case-5311,2011-02-13 23:00:00+00:00,Desk,2011-04-14 12:12:56.814000+00:00
23,EMPTY,task-7233,Resource08,Confirmation of receipt,2011-01-17 08:36:33.985000+00:00,complete,2011-01-06 23:00:00.010000+00:00,Resource08,2011-03-03 23:00:00.010000+00:00,General,,case-5194,2011-03-03 23:00:00+00:00,e-mail,2011-02-08 14:36:36.783000+00:00
24,EMPTY,task-8492,Resource08,T02 Check confirmation of receipt,2011-01-17 08:37:09.764000+00:00,complete,2011-01-06 23:00:00.010000+00:00,Resource08,2011-03-03 23:00:00.010000+00:00,General,,case-5194,2011-03-03 23:00:00+00:00,e-mail,2011-02-08 14:36:36.783000+00:00
25,Group 3,task-8494,Resource08,T04 Determine confirmation of receipt,2011-01-17 08:37:39.327000+00:00,complete,2011-01-06 23:00:00.010000+00:00,Resource08,2011-03-03 23:00:00.010000+00:00,General,,case-5194,2011-03-03 23:00:00+00:00,e-mail,2011-02-08 14:36:36.783000+00:00
26,EMPTY,task-8495,Resource08,T05 Print and send confirmation of receipt,2011-01-17 08:38:16.995000+00:00,complete,2011-01-06 23:00:00.010000+00:00,Resource08,2011-03-03 23:00:00.010000+00:00,General,,case-5194,2011-03-03 23:00:00+00:00,e-mail,2011-02-08 14:36:36.783000+00:00
27,Group 1,task-8493,Resource08,T06 Determine necessity of stop advice,2011-01-17 08:38:26.926000+00:00,complete,2011-01-06 23:00:00.010000+00:00,Resource08,2011-03-03 23:00:00.010000+00:00,General,,case-5194,2011-03-03 23:00:00+00:00,e-mail,2011-02-08 14:36:36.783000+00:00
28,Group 1,task-8496,Resource08,T10 Determine necessity to stop indication,2011-01-17 08:38:45.924000+00:00,complete,2011-01-06 23:00:00.010000+00:00,Resource08,2011-03-03 23:00:00.010000+00:00,General,,case-5194,2011-03-03 23:00:00+00:00,e-mail,2011-02-08 14:36:36.783000+00:00
29,EMPTY,task-6774,Resource08,Confirmation of receipt,2011-01-18 07:12:04.353000+00:00,complete,2010-12-27 23:00:00.010000+00:00,Resource08,2011-02-21 23:00:00.010000+00:00,General,,case-5133,2011-02-21 23:00:00+00:00,Post,2011-02-18 13:46:47.461000+00:00
30,Group 4,task-8697,Resource08,T02 Check confirmation of receipt,2011-01-18 07:12:37.316000+00:00,complete,2010-12-27 23:00:00.010000+00:00,Resource08,2011-02-21 23:00:00.010000+00:00,General,,case-5133,2011-02-21 23:00:00+00:00,Post,2011-02-18 13:46:47.461000+00:00
31,EMPTY,task-8699,Resource08,T04 Determine confirmation of receipt,2011-01-18 14:29:10.307000+00:00,complete,2010-12-27 23:00:00.010000+00:00,Resource08,2011-02-21 23:00:00.010000+00:00,General,,case-5133,2011-02-21 23:00:00+00:00,Post,2011-02-18 13:46:47.461000+00:00
32,Group 2,task-8880,admin1,T05 Print and send confirmation of receipt,2011-01-24 09:51:31.787000+00:00,complete,2010-12-27 23:00:00.010000+00:00,Resource08,2011-02-21 23:00:00.010000+00:00,General,,case-5133,2011-02-21 23:00:00+00:00,Post,2011-02-18 13:46:47.461000+00:00
33,Group 1,task-8698,Resource08,T06 Determine necessity of stop advice,2011-01-31 12:26:10.607000+00:00,complete,2010-12-27 23:00:00.010000+00:00,Resource08,2011-02-21 23:00:00.010000+00:00,General,,case-5133,2011-02-21 23:00:00+00:00,Post,2011-02-18 13:46:47.461000+00:00
34,Group 1,task-10200,Resource08,T10 Determine necessity to stop indication,2011-01-31 12:26:27.235000+00:00,complete,2010-12-27 23:00:00.010000+00:00,Resource08,2011-02-21 23:00:00.010000+00:00,General,,case-5133,2011-02-21 23:00:00+00:00,Post,2011-02-18 13:46:47.461000+00:00
35,Group 1,task-8886,Resource18,Confirmation of receipt,2011-01-20 12:56:59.677000+00:00,complete,2010-12-29 23:00:00.010000+00:00,Resource18,2011-02-23 23:00:00.010000+00:00,General,,case-5381,2011-02-23 23:00:00+00:00,Internet,2011-02-15 09:33:29.582000+00:00
36,Group 4,task-9084,Resource18,T02 Check confirmation of receipt,2011-01-20 12:59:54.727000+00:00,complete,2010-12-29 23:00:00.010000+00:00,Resource18,2011-02-23 23:00:00.010000+00:00,General,,case-5381,2011-02-23 23:00:00+00:00,Internet,2011-02-15 09:33:29.582000+00:00
37,Group 3,task-9086,Resource18,T04 Determine confirmation of receipt,2011-01-20 13:00:12.609000+00:00,complete,2010-12-29 23:00:00.010000+00:00,Resource18,2011-02-23 23:00:00.010000+00:00,General,,case-5381,2011-02-23 23:00:00+00:00,Internet,2011-02-15 09:33:29.582000+00:00
38,Group 2,task-9087,admin1,T05 Print and send confirmation of receipt,2011-01-24 11:00:28.441000+00:00,complete,2010-12-29 23:00:00.010000+00:00,Resource18,2011-02-23 23:00:00.010000+00:00,General,,case-5381,2011-02-23 23:00:00+00:00,Internet,2011-02-15 09:33:29.582000+00:00
39,Group 1,task-9085,Resource18,T06 Determine necessity of stop advice,2011-01-25 08:13:56.754000+00:00,complete,2010-12-29 23:00:00.010000+00:00,Resource18,2011-02-23 23:00:00.010000+00:00,General,,case-5381,2011-02-23 23:00:00+00:00,Internet,2011-02-15 09:33:29.582000+00:00
40,Group 1,task-9410,Resource18,T10 Determine necessity to stop indication,2011-01-25 08:14:15.919000+00:00,complete,2010-12-29 23:00:00.010000+00:00,Resource18,2011-02-23 23:00:00.010000+00:00,General,,case-5381,2011-02-23 23:00:00+00:00,Internet,2011-02-15 09:33:29.582000+00:00
41,Group 1,task-8952,Resource18,Confirmation of receipt,2011-01-20 13:06:00.418000+00:00,complete,2010-12-29 23:00:00.010000+00:00,Resource18,2011-02-23 23:00:00.010000+00:00,General,,case-5401,2011-02-23 23:00:00+00:00,Internet,2011-02-24 09:18:42.399000+00:00
42,Group 4,task-9088,Resource18,T02 Check confirmation of receipt,2011-01-20 13:09:11.295000+00:00,complete,2010-12-29 23:00:00.010000+00:00,Resource18,2011-02-23 23:00:00.010000+00:00,General,,case-5401,2011-02-23 23:00:00+00:00,Internet,2011-02-24 09:18:42.399000+00:00
43,Group 3,task-9091,Resource18,T04 Determine confirmation of receipt,2011-01-20 13:09:32.926000+00:00,complete,2010-12-29 23:00:00.010000+00:00,Resource18,2011-02-23 23:00:00.010000+00:00,General,,case-5401,2011-02-23 23:00:00+00:00,Internet,2011-02-24 09:18:42.399000+00:00
44,Group 2,task-9092,admin1,T05 Print and send confirmation of receipt,2011-01-24 10:08:35.372000+00:00,complete,2010-12-29 23:00:00.010000+00:00,Resource18,2011-02-23 23:00:00.010000+00:00,General,,case-5401,2011-02-23 23:00:00+00:00,Internet,2011-02-24 09:18:42.399000+00:00
45,Group 1,task-9089,Resource18,T06 Determine necessity of stop advice,2011-01-25 09:03:39.049000+00:00,complete,2010-12-29 23:00:00.010000+00:00,Resource18,2011-02-23 23:00:00.010000+00:00,General,,case-5401,2011-02-23 23:00:00+00:00,Internet,2011-02-24 09:18:42.399000+00:00
46,Group 1,task-9432,Resource18,T10 Determine necessity to stop indication,2011-01-25 09:03:58.554000+00:00,complete,2010-12-29 23:00:00.010000+00:00,Resource18,2011-02-23 23:00:00.010000+00:00,General,,case-5401,2011-02-23 23:00:00+00:00,Internet,2011-02-24 09:18:42.399000+00:00
47,EMPTY,task-5410,Resource02,Confirmation of receipt,2011-01-17 10:08:48.046000+00:00,complete,2010-12-15 23:00:00.010000+00:00,Resource02,2011-02-09 23:00:00.010000+00:00,General,,case-4922,2011-02-09 23:00:00+00:00,Post,2011-02-11 10:36:29.855000+00:00
48,EMPTY,task-8559,Resource02,T02 Check confirmation of receipt,2011-01-17 10:09:50.532000+00:00,complete,2010-12-15 23:00:00.010000+00:00,Resource02,2011-02-09 23:00:00.010000+00:00,General,,case-4922,2011-02-09 23:00:00+00:00,Post,2011-02-11 10:36:29.855000+00:00
49,Group 3,task-8561,Resource10,T04 Determine confirmation of receipt,2011-01-17 10:58:20.624000+00:00,complete,2010-12-15 23:00:00.010000+00:00,Resource02,2011-02-09 23:00:00.010000+00:00,General,,case-4922,2011-02-09 23:00:00+00:00,Post,2011-02-11 10:36:29.855000+00:00
50,Group 1,task-8560,Resource02,T06 Determine necessity of stop advice,2011-01-18 07:41:58.518000+00:00,complete,2010-12-15 23:00:00.010000+00:00,Resource02,2011-02-09 23:00:00.010000+00:00,General,,case-4922,2011-02-09 23:00:00+00:00,Post,2011-02-11 10:36:29.855000+00:00
51,Group 1,task-8703,Resource02,T10 Determine necessity to stop indication,2011-01-18 07:42:16.927000+00:00,complete,2010-12-15 23:00:00.010000+00:00,Resource02,2011-02-09 23:00:00.010000+00:00,General,,case-4922,2011-02-09 23:00:00+00:00,Post,2011-02-11 10:36:29.855000+00:00
52,Group 2,task-8585,admin1,T05 Print and send confirmation of receipt,2011-01-18 09:12:55.742000+00:00,complete,2010-12-15 23:00:00.010000+00:00,Resource02,2011-02-09 23:00:00.010000+00:00,General,,case-4922,2011-02-09 23:00:00+00:00,Post,2011-02-11 10:36:29.855000+00:00
53,Group 1,task-8949,Resource04,Confirmation of receipt,2011-01-19 15:28:08.208000+00:00,complete,2010-12-31 00:06:40.010000+00:00,Resource04,2011-03-27 23:06:40.020000+00:00,General,,case-5398,2011-03-27 23:06:40+00:00,Internet,2011-03-18 11:04:12.415000+00:00
54,Group 4,task-9019,Resource04,T02 Check confirmation of receipt,2011-01-21 08:14:19.467000+00:00,complete,2010-12-31 00:06:40.010000+00:00,Resource04,2011-03-27 23:06:40.020000+00:00,General,,case-5398,2011-03-27 23:06:40+00:00,Internet,2011-03-18 11:04:12.415000+00:00
55,Group 3,task-9186,Resource04,T04 Determine confirmation of receipt,2011-01-21 08:14:32.449000+00:00,complete,2010-12-31 00:06:40.010000+00:00,Resource04,2011-03-27 23:06:40.020000+00:00,General,,case-5398,2011-03-27 23:06:40+00:00,Internet,2011-03-18 11:04:12.415000+00:00
