CASE_ID,Activity,Resource,StartTimestamp,Amount,CompleteTimestamp,Duration
9162,W-Afhandelen leads,11122,2012.02.03 20:46:22,20000,2012.02.03 20:48:11,1
9162,W-Completeren aanvraag,10912,2012.02.04 10:59:16,20000,2012.02.04 10:59:23,0
9162,W-Completeren aanvraag,no resuource,2012.02.04 11:14:38,20000,2012.02.04 11:16:39,2
9162,W-Completeren aanvraag,no resuource,2012.02.04 15:18:05,20000,2012.02.04 15:36:18,18
9163,W-Completeren aanvraag,10982,2012.02.08 16:53:05,17000,2012.02.08 16:58:33,5
9163,W-Nabellen offertes,10982,2012.02.08 16:58:43,17000,2012.02.08 17:00:31,1
9163,W-Nabellen offertes,10982,2012.02.08 17:01:02,17000,2012.02.08 17:01:30,0
9163,W-Nabellen offertes,11203,2012.02.16 09:49:23,17000,2012.02.16 09:53:35,4
9163,W-Nabellen offertes,11203,2012.02.17 20:12:16,17000,2012.02.17 20:13:39,1
9163,W-Nabellen offertes,10909,2012.02.18 16:39:51,17000,2012.02.18 16:45:46,5
9163,W-Nabellen offertes,10913,2012.02.18 16:48:24,17000,2012.02.18 16:48:48,0
9163,W-Nabellen offertes,10909,2012.02.18 16:49:10,17000,2012.02.18 17:04:35,15
9163,W-Nabellen offertes,11009,2012.02.28 14:09:10,17000,2012.02.28 14:13:34,4
9163,W-Nabellen offertes,11319,2012.03.05 10:42:23,17000,2012.03.05 10:45:22,2
9163,W-Nabellen offertes,11300,2012.03.09 16:17:21,17000,2012.03.09 16:18:32,1
9163,W-Nabellen offertes,11300,2012.03.09 16:17:21,17000,2012.03.10 09:15:33,1018
9164,W-Afhandelen leads,no resuource,2011.11.25 17:20:49,2000,2011.11.25 17:24:27,3
9164,W-Completeren aanvraag,10912,2011.11.25 18:50:01,2000,2011.11.25 18:57:10,7
9164,W-Completeren aanvraag,no resuource,2011.11.25 19:45:29,2000,2011.11.25 19:48:12,2
9164,W-Completeren aanvraag,11203,2011.11.26 14:11:04,2000,2011.11.26 14:11:16,0
9164,W-Completeren aanvraag,10909,2011.11.28 12:32:29,2000,2011.11.28 12:33:23,0
9164,W-Completeren aanvraag,11180,2011.12.01 20:23:48,2000,2011.12.01 20:23:58,0
9164,W-Completeren aanvraag,11181,2011.12.01 20:53:08,2000,2011.12.01 20:53:21,0
9164,W-Completeren aanvraag,11180,2011.12.05 09:08:06,2000,2011.12.05 09:09:43,1
9164,W-Completeren aanvraag,10982,2011.12.12 16:24:22,2000,2011.12.12 16:26:02,1
9164,W-Completeren aanvraag,10982,2011.12.12 16:24:22,2000,2011.12.26 09:15:23,19731
9165,W-Afhandelen leads,11169,2011.11.17 12:28:45,5000,2011.11.17 12:30:04,1
9166,W-Completeren aanvraag,11119,2011.11.16 18:48:09,35000,2011.11.16 18:49:42,1
9166,W-Completeren aanvraag,11119,2011.11.16 18:49:47,35000,2011.11.16 18:54:45,4
9166,W-Nabellen offertes,11119,2011.11.16 18:57:21,35000,2011.11.16 18:59:43,2
9166,W-Nabellen offertes,10899,2011.11.22 10:58:38,35000,2011.11.22 10:58:54,0
9166,W-Valideren aanvraag,10809,2011.11.24 11:07:48,35000,2011.11.24 11:19:05,11
9166,W-Valideren aanvraag,10809,2011.11.24 11:19:21,35000,2011.11.24 11:55:37,36
9166,W-Valideren aanvraag,10809,2011.11.24 12:03:34,35000,2011.11.24 12:08:28,4
9167,W-Completeren aanvraag,11122,2011.11.16 19:23:16,5000,2011.11.16 19:26:27,3
9167,W-Completeren aanvraag,11122,2011.11.16 19:45:04,5000,2011.11.16 20:05:36,20
9167,W-Nabellen offertes,11122,2011.11.16 20:08:47,5000,2011.11.16 20:15:01,6
9167,W-Nabellen offertes,11122,2011.11.16 20:44:27,5000,2011.11.16 20:48:09,3
9167,W-Nabellen offertes,11049,2011.11.17 09:45:08,5000,2011.11.17 09:49:52,4
9167,W-Nabellen offertes,10609,2011.11.17 09:58:56,5000,2011.11.17 09:59:17,0
9167,W-Valideren aanvraag,10609,2011.11.17 10:00:55,5000,2011.11.17 10:35:15,34
9168,W-Completeren aanvraag,11122,2011.11.16 19:32:34,5000,2011.11.16 19:39:57,7
9168,W-Nabellen offertes,10861,2011.11.22 16:18:01,5000,2011.11.22 16:20:02,2
9168,W-Nabellen offertes,10909,2011.11.22 16:22:22,5000,2011.11.22 16:25:49,3
9168,W-Nabellen offertes,11259,2011.11.24 11:53:28,5000,2011.11.24 11:53:42,0
9168,W-Valideren aanvraag,10138,2011.11.28 15:15:42,5000,2011.11.28 15:25:34,9
9168,W-Nabellen incomplete dossiers,10932,2011.11.28 15:43:50,5000,2011.11.28 15:45:57,2
9168,W-Nabellen incomplete dossiers,10910,2011.11.28 15:50:40,5000,2011.11.28 15:50:52,0
9168,W-Valideren aanvraag,10138,2011.11.29 09:20:19,5000,2011.11.29 09:27:42,7
9168,W-Nabellen incomplete dossiers,11121,2011.11.29 10:00:00,5000,2011.11.29 10:02:11,2
9168,W-Nabellen incomplete dossiers,11121,2011.11.29 10:53:20,5000,2011.11.29 10:53:22,0
9168,W-Nabellen incomplete dossiers,11121,2011.11.29 10:53:36,5000,2011.11.29 10:56:58,3
9168,W-Nabellen incomplete dossiers,11049,2011.12.01 13:11:30,5000,2011.12.01 13:12:05,0
9168,W-Nabellen incomplete dossiers,11121,2011.12.06 12:46:57,5000,2011.12.06 12:47:17,0
9168,W-Nabellen incomplete dossiers,11189,2011.12.07 14:45:39,5000,2011.12.07 14:49:14,3
9168,W-Nabellen incomplete dossiers,10931,2011.12.07 15:07:46,5000,2011.12.07 15:08:58,1
9169,W-Beoordelen fraude,10188,2012.01.23 09:33:54,10000,2012.01.23 09:34:02,0
9169,W-Beoordelen fraude,10188,2012.01.23 09:55:11,10000,2012.01.23 09:55:21,0
9170,W-Completeren aanvraag,11119,2011.11.16 20:45:10,5000,2011.11.16 20:47:29,2
9170,W-Completeren aanvraag,no resuource,2011.11.17 12:17:29,5000,2011.11.17 12:18:08,0
9170,W-Completeren aanvraag,11169,2011.11.17 12:18:49,5000,2011.11.17 12:26:15,7
9170,W-Nabellen offertes,10899,2011.11.23 11:11:48,5000,2011.11.23 11:12:21,0
9170,W-Valideren aanvraag,10972,2011.11.28 10:24:54,5000,2011.11.28 10:54:20,29
9170,W-Nabellen incomplete dossiers,10931,2011.11.28 11:54:29,5000,2011.11.28 12:20:22,25
9170,W-Nabellen incomplete dossiers,10932,2011.11.28 14:59:21,5000,2011.11.28 14:59:41,0
9170,W-Nabellen incomplete dossiers,10881,2011.11.28 18:30:06,5000,2011.11.28 18:34:21,4
9170,W-Nabellen incomplete dossiers,no resuource,2011.11.28 19:19:29,5000,2011.11.28 19:26:32,7
9170,W-Nabellen incomplete dossiers,10972,2011.11.29 08:59:58,5000,2011.11.29 09:09:35,9
9171,W-Afhandelen leads,11189,2011.12.22 09:04:44,10000,2011.12.22 09:06:17,1
9171,W-Completeren aanvraag,11189,2011.12.22 09:41:05,10000,2011.12.22 09:44:15,3
9171,W-Completeren aanvraag,11019,2011.12.22 15:49:25,10000,2011.12.22 15:50:51,1
9171,W-Completeren aanvraag,11180,2011.12.22 17:08:31,10000,2011.12.22 17:08:40,0
9171,W-Completeren aanvraag,11201,2011.12.22 17:33:44,10000,2011.12.22 17:47:18,13
9172,W-Afhandelen leads,11119,2011.11.16 20:49:19,14042,2011.11.16 20:53:15,3
9172,W-Afhandelen leads,11119,2011.11.16 20:54:01,14042,2011.11.16 20:54:57,0
9172,W-Completeren aanvraag,no resuource,2011.11.17 09:34:44,14042,2011.11.17 09:41:50,7
9172,W-Completeren aanvraag,11180,2011.11.17 17:36:31,14042,2011.11.17 17:42:01,5
9172,W-Completeren aanvraag,10913,2011.11.17 19:19:11,14042,2011.11.17 19:32:07,12
9172,W-Completeren aanvraag,10913,2011.11.19 16:48:47,14042,2011.11.19 17:05:18,16
9172,W-Completeren aanvraag,no resuource,2011.11.21 17:59:26,14042,2011.11.21 18:25:59,26
9172,W-Completeren aanvraag,no resuource,2011.11.21 18:26:03,14042,2011.11.21 18:26:32,0
9172,W-Completeren aanvraag,10861,2011.11.22 13:13:58,14042,2011.11.22 13:14:54,0
9172,W-Completeren aanvraag,10939,2011.11.25 09:32:29,14042,2011.11.25 09:35:13,2
9172,W-Completeren aanvraag,no resuource,2011.11.25 15:50:31,14042,2011.11.25 15:51:00,0
9172,W-Completeren aanvraag,11201,2011.11.25 18:19:24,14042,2011.11.25 18:20:44,1
9172,W-Completeren aanvraag,10913,2011.11.26 16:23:04,14042,2011.11.26 16:23:47,0
9173,W-Completeren aanvraag,11122,2011.11.16 20:48:47,5000,2011.11.16 20:56:35,7
9173,W-Nabellen offertes,11122,2011.11.16 20:56:44,5000,2011.11.16 20:56:46,0
9173,W-Nabellen offertes,11122,2011.11.16 20:56:53,5000,2011.11.16 20:58:40,1
9173,W-Nabellen offertes,11122,2011.11.16 20:58:51,5000,2011.11.16 21:01:47,2
9173,W-Nabellen offertes,11189,2011.11.22 16:04:54,5000,2011.11.22 16:09:30,4
9173,W-Nabellen offertes,10789,2011.11.25 12:21:10,5000,2011.11.25 12:21:23,0
9173,W-Valideren aanvraag,10609,2011.11.29 09:55:49,5000,2011.11.29 10:18:54,23
9173,W-Nabellen incomplete dossiers,11121,2011.11.29 11:02:06,5000,2011.11.29 11:26:15,24
9173,W-Nabellen incomplete dossiers,11121,2011.11.29 13:53:24,5000,2011.11.29 13:54:52,1
9173,W-Nabellen incomplete dossiers,10929,2011.11.29 19:39:50,5000,2011.11.29 19:43:07,3
9173,W-Nabellen incomplete dossiers,10939,2011.11.30 09:06:49,5000,2011.11.30 09:10:14,3
9173,W-Nabellen incomplete dossiers,10929,2011.12.01 13:15:34,5000,2011.12.01 13:20:24,4
9173,W-Nabellen incomplete dossiers,10929,2011.12.01 13:33:48,5000,2011.12.01 13:39:57,6
9173,W-Nabellen incomplete dossiers,10929,2011.12.01 13:40:02,5000,2011.12.01 13:40:19,0
9173,W-Nabellen incomplete dossiers,11049,2011.12.01 14:02:46,5000,2011.12.01 14:04:43,1
9173,W-Valideren aanvraag,10609,2011.12.01 14:16:16,5000,2011.12.01 14:26:49,10
9173,W-Valideren aanvraag,10609,2011.12.01 14:35:58,5000,2011.12.01 14:52:31,16
9174,W-Completeren aanvraag,10861,2012.02.08 12:40:52,16600,2012.02.08 12:53:10,12
9174,W-Completeren aanvraag,10982,2012.02.08 17:02:13,16600,2012.02.08 17:02:51,0
9174,W-Completeren aanvraag,11019,2012.02.09 11:55:44,16600,2012.02.09 12:16:19,20
9174,W-Completeren aanvraag,11201,2012.02.09 16:34:40,16600,2012.02.09 16:36:53,2
9174,W-Completeren aanvraag,11003,2012.02.09 19:14:29,16600,2012.02.09 19:15:21,0
9174,W-Completeren aanvraag,11179,2012.02.10 10:56:26,16600,2012.02.10 10:59:22,2
9174,W-Completeren aanvraag,10909,2012.02.11 10:43:38,16600,2012.02.11 10:45:18,1
9174,W-Completeren aanvraag,11003,2012.02.14 18:24:31,16600,2012.02.14 18:25:05,0
9174,W-Completeren aanvraag,11309,2012.03.08 09:28:16,16600,2012.03.08 09:28:54,0
9174,W-Completeren aanvraag,11309,2012.03.08 14:39:07,16600,2012.03.08 14:39:29,0
9174,W-Completeren aanvraag,10933,2012.03.08 19:06:29,16600,2012.03.08 19:09:06,2
9174,W-Completeren aanvraag,10933,2012.03.08 19:06:29,16600,2012.03.10 09:15:17,2288
9175,W-Afhandelen leads,11119,2011.11.16 20:55:00,30000,2011.11.16 20:57:43,2
9175,W-Completeren aanvraag,no resuource,2011.11.17 09:42:06,30000,2011.11.17 09:55:39,13
9175,W-Completeren aanvraag,no resuource,2011.11.17 10:06:58,30000,2011.11.17 10:29:01,22
9175,W-Nabellen offertes,11259,2011.11.22 11:28:27,30000,2011.11.22 11:28:40,0
9175,W-Valideren aanvraag,10138,2011.11.24 09:11:58,30000,2011.11.24 09:27:27,15
